x,y
0.0,0.119615256786
1.9999980926499998,0.116609536111
3.9999961852999997,0.112853787839
5.99999237061,0.10834787785999998
7.999986648560001,0.10309167951300001
9.999979019169999,0.0970850288868
11.9999675751,0.09032783657309999
13.9999542236,0.0828199386597
15.9999389648,0.074561201036
17.9999198914,0.0655515044928
19.9998970032,0.055790707468999994
21.999870300300003,0.045278668403599995
23.9998397827,0.034015279263299995
25.9998054504,0.0220003835857
27.999765396100003,0.00923385843635
29.9997215271,-0.00428441539407
31.999671936,-0.018554575741299997
33.999618530300005,-0.0335767753422
35.9995574951,-0.049351092428
37.9994926453,-0.065877713263
39.999420166,-0.08315672725439999
41.9993400574,-0.101188264787
